A,B,C,D,E
85643093|Greggs|09470661|318784|176639|1|10003567383|osgb1000027217811|6|5801664|1|41.5|140 The Aspect|Queen Street|Cathays, Cardiff|South Glamorgan|CF10 2GP|Caerdydd - Cardiff|02920032669|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
85636145|Cocorico Patisserie|09470661|317501|178809|1|100100037956|osgb1000027178920|6|5802128|1|8.2|35|Whitchurch Road|Gabalfa, Cardiff|South Glamorgan|CF14 3JN|Caerdydd - Cardiff|02921328177|||||118 Information|2024-12-01,,,
91356776|Brutons the Bakers|09470661|316397|176595|1|100100915050|osgb1000027122672|4|5800521|1|18.8|224|Cowbridge Road East|Canton, Cardiff|South Glamorgan|CF5 1GY|Caerdydd - Cardiff|02920232655|www.brutonsthebakers.co.uk|Brutons|||118 Information|2024-12-01,,,
118138189|Memory Lane Cakes|09470661|316909.4|180830.2|1|200002932854|osgb1000027132946|6|5801310|1|80||Maes-y-Coed Road|Heath, Cardiff|South Glamorgan|CF14 4XR|Caerdydd - Cardiff|02920357500|www.finsburyfoods.co.uk||||118 Information|2024-12-01,,,
111214669|Muffin Break|09470661|318561|176242.6|1|10023547155|osgb1000002706067818|6|5802794|3|49.8|6, St David's Dewi Sant, Bridge Street Arcade|Cathays|Cardiff|South Glamorgan|CF10 2EF|Caerdydd - Cardiff|02920227252|muffinbreak.co.uk|Muffin Break|||118 Information|2024-12-01,,
151350664|Greggs|09470661|322428.7|180858.2|1|10002509654|osgb5000005190431631|1|5800514|1|16.3|72|Countisbury Avenue|Llanrumney, Cardiff|South Glamorgan|CF3 5SN|Caerdydd - Cardiff|02920032692|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
151350668|Greggs|09470661|319182|178036|1|100100897919|osgb1000027263085|4|5802092|1|18.8|39, Wellfield Road|Roath|Cardiff|South Glamorgan|CF24 3PA|Caerdydd - Cardiff|02920032673|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
151350672|Greggs|09470661|318333.6|176499.1|1||osgb5000005100559294|1|5801664|3|28.4|Unit 34|Queens Arcade|Cathays, Cardiff|South Glamorgan|CF10 2BY|Caerdydd - Cardiff|02920025965|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
166809577|McSims Pastizzeria|09470661|318152|177437|1|200002934197|osgb1000027224514|5|5803262|3|23.3|Senghennydd Road||Cardiff|South Glamorgan|CF24 4AZ|Caerdydd - Cardiff|02922418994|www.mcsims.co.uk||||118 Information|2024-12-01,,,,
181516977|Greggs|09470661|321845|177107|1|200002934022|osgb1000042940225|3|5803681|1|287.5||Ffordd Pengam|Splott, Cardiff|South Glamorgan|CF24 2HP|Caerdydd - Cardiff|02920032674|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
146523179|Krispy Kreme Doughnuts|09470661|318456.1|176324.9|1|10023548471|osgb1000027219177|22|5803284|3|75.9|1|Town Wall South|Cathays, Cardiff|South Glamorgan|CF10 2EW|Caerdydd - Cardiff|01276601170|www.krispykreme.co.uk|Krispy Kreme|||118 Information|2024-12-01,,,
114139902|Parsons Bakery|09470661|315980|181092|1|100100894022|osgb5000005194231509|1|5801013|1|15.3|9|Heol-y-Deri|Rhiwbina, Cardiff|South Glamorgan|CF14 6HA|Caerdydd - Cardiff|02920626057|www.parsonsbakery.co.uk|Parsons Bakery|||118 Information|2024-12-01,,,
170753924|Victoria Secret|09460660|318512|176236|1||osgb1000002706067822|11|5802794|3|82.6|79-83|Grande Arcade|Cardiff|South Glamorgan|CF10 2EF|Caerdydd - Cardiff|02920235235|||||118 Information|2024-12-01,,,,
151352228|Greggs|09470661|316513|182034|1|10090720228|osgb5000005154503136|2|5800960|1|30.4||Heol Llanishen Fach|Rhiwbina, Cardiff|South Glamorgan|CF14 6RG|Caerdydd - Cardiff|02920032684|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
151352231|Greggs|09470661|318529|176628|1|10092985498|osgb1000027217779|6|5801538|1|39.2|2a|Park Place|Cathays, Cardiff|South Glamorgan|CF10 3DP|Caerdydd - Cardiff|02920032664|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
151352233|Greggs|09470661|319141.5|174487.3|1|10002527287|osgb1000041298983|4|5800258|1|72.7|Unit 21 Mermaid Quay|Bute Street|Butetown, Cardiff|South Glamorgan|CF10 5BZ|Caerdydd - Cardiff|02920032676|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
156916730|The Danish Bakery Ltd|09470661|316782|176856|1|100100892043|osgb1000027120633|4|5802187|1|14.4|126|Wyndham Crescent|Pontcanna, Cardiff|South Glamorgan|CF11 9EG|Caerdydd - Cardiff|02920251822|www.thedanishbakery.co.uk||||118 Information|2024-12-01,,,
167777654|Alex Gooch Artisan Baker Ltd|09470661|316781|176962|1|10013745067|osgb1000027120433|6|5801135|1|53.2|Store 1a 183a|King's Road|Pontcanna, Cardiff|South Glamorgan|CF11 9DF|Caerdydd - Cardiff|02920397907|||||118 Information|2024-12-01,,,
168655084|Chapter 22 Patisserie|09470661|314819|179299|1|100101043559|osgb1000027041822|2|5804186|3|13.2|111a Station Road|Llandaff North|Cardiff|South Glamorgan|CF14 2FD|Caerdydd - Cardiff|02921350569|||||118 Information|2024-12-01,,,,
48778109|Bakers Dozen|09470661|320014|176770|1|100100896595|osgb1000027286875|4|5801802|1|16.6|17|Splott Road|Splott, Cardiff|South Glamorgan|CF24 2BU|Caerdydd - Cardiff|02920486589|||||118 Information|2024-12-01,,,
95765544|Greggs|09470661|319965|175722|1|10023549936|osgb1000041328629|7|5803526|1|81.4|Part Unit 8 Regents Trade Park|Galdames Place|Splott, Cardiff|South Glamorgan|CF24 5PF|Caerdydd - Cardiff|02920032675|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
162684828|Nata & Co|09470661|318091|176446|1|100100890201|osgb1000027219413|6|5800327|1|19.1|3, Castle Street|Cathays|Cardiff|South Glamorgan|CF10 1BS|Caerdydd - Cardiff|02920342200|||||118 Information|2024-12-01,,,
162784859|The Naked Vegan|09470661|318249|176349|1|10002521015|osgb1000027219495|5|5803531|3|41.1|Unit 255 227 229 Central Market St Mary Street|Central Market|Cardiff|South Glamorgan|CF10 1AU|Caerdydd - Cardiff|02921321040|||||118 Information|2024-12-01,,,,
164699638|Greggs|09470661|316844|173431|1|64033939|osgb1000002706013640|1|41502356|2|36|Penarth Road Retail Park|Penarth Road|Cardiff|South Glamorgan|CF11 8EF|Bro Morgannwg - the Vale of Glamorgan|02920032688|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,,
48781578|Brutons the Bakers|09470661|313911.4|177453.8|1|100100085874|osgb1000027013126|5|5800706|1|13|8|Fairwater Green|Fairwater, Cardiff|South Glamorgan|CF5 3BA|Caerdydd - Cardiff|02920253100|www.brutonsthebakers.co.uk|Brutons|||118 Information|2024-12-01,,,
141908006|Parsons Bakery|09470661|315493|180005|1|100100892776|osgb5000005191050804|3|5801372|1|14.8|31|Merthyr Road|Whitchurch, Cardiff|South Glamorgan|CF14 1DB|Caerdydd - Cardiff|02920625781|www.parsonsbakery.co.uk|Parsons Bakery|||118 Information|2024-12-01,,,
161947324|Fangs Oriental Bakery|09470661|318380|177828|1|100100031436|osgb1000027222358|5|5802177|1|14.5|114|Woodville Road|Cathays, Cardiff|South Glamorgan|CF24 4EE|Caerdydd - Cardiff|02920233110|||||118 Information|2024-12-01,,,
124779933|Patisserie Valerie|09470661|318631|176647|1|10002530956|osgb1000027217833|3|5801664|1|15.4|113|Queen Street|Cathays, Cardiff|South Glamorgan|CF10 2BH|Caerdydd - Cardiff|02920236488|www.patisserie-valerie.co.uk|Patisserie Valerie|||118 Information|2024-12-01,,,
141905936|Myloaf Ltd|09470661|314848|179296|1|100101053897|osgb1000027041487|3|5801872|1|15.9|Avocet House,88, Station Road|Llandaff North|Cardiff|South Glamorgan|CF14 2FG|Caerdydd - Cardiff|02920569007|www.myloaf.co.uk||||118 Information|2024-12-01,,
151351924|Greggs|09470661|321042.7|181080.3|1|10023550955|osgb5000005115680522|1|5801585|1|27.8|Unit 3 Pentwyn Retail Park|Pentwyn Road|Pentwyn, Cardiff|South Glamorgan|CF23 7XH|Caerdydd - Cardiff|02920032679|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
162685042|Pettigrew Bakeries|09470661|318789|177911|1|100101042417|osgb1000027219812|3|5801424|2|14|Roath Garage|Moy Road|Cardiff|South Glamorgan|CF24 4TD|Caerdydd - Cardiff|02920462376|||||118 Information|2024-12-01,,,,
164699636|Greggs|09470661|316476.1|178610.7|1|10095462735|osgb1000027128023|6|5802253|1|25.8|Unit 1a Excelsior Industrial Estate|Batchelor Road|Gabalfa, Cardiff|South Glamorgan|CF14 3AX|Caerdydd - Cardiff|02920032678|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
181516974|Greggs|09470661|316838|176502|1|100101041799|osgb1000027120928|8|5804644|1|418.9|217-219|Cowbridge Road East|Riverside, Cardiff|South Glamorgan|CF11 9AL|Caerdydd - Cardiff|02920026873|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
48775820|Greggs|09470661|321521|179507|1|100100899167|osgb1000027319017|5|5804620|1|24.8|767|Newport Road|Llanrumney, Cardiff|South Glamorgan|CF3 4AJ|Caerdydd - Cardiff|02920032691|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
68715006|Brutons the Bakers|09470661|316828|176502|1|100100892305|osgb1000027120926|7|5804644|1|428.8|223|Cowbridge Road East|Riverside, Cardiff|South Glamorgan|CF11 9AL|Caerdydd - Cardiff|02920230040|www.brutonsthebakers.co.uk|Brutons|||118 Information|2024-12-01,,,
103277684|Greggs|09470661|318591.4|177232.8|1|100100030928|osgb5000005254863849|1|5801752|1|14.5|31-33|Salisbury Road|Cathays, Cardiff|South Glamorgan|CF24 4AA|Caerdydd - Cardiff|02920032661|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
171992329|Stephen's Bakery|09470661|320933|174975|1||osgb1000042930046|5|5800750|3|24.7|South Point|Foreshore Road|Cardiff|South Glamorgan|CF10 4SP|Caerdydd - Cardiff|02920456596|||||118 Information|2024-12-01,,,,
181516978|Greggs|09470661|323543.9|181189.8|1|10023542527|osgb1000027380278|7|5800535|1|133.7|St Mellons District Shopping Centre|Crickhowell Road|Trowbridge, Cardiff|South Glamorgan|CF3 0EF|Caerdydd - Cardiff|02920032700|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
48780810|Greggs|09470661|318157|178166|1|100100898270|osgb1000027228338|4|5800547|1|16.5|114|Crwys Road|Cathays, Cardiff|South Glamorgan|CF24 4NR|Caerdydd - Cardiff|02920032670|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
48780822|Brutons the Bakers|09470661|319993|176535|1|100100062760|osgb1000027251632|9|5800314|1|16|31|Carlisle Street|Splott, Cardiff|South Glamorgan|CF24 2DQ|Caerdydd - Cardiff|02920257030|www.brutonsthebakers.co.uk|Brutons|||118 Information|2024-12-01,,,
103295902|Greggs|09470661|318188|176357|1|100101043474|osgb1000027219245|6|5801856|1|15.4|1|St Mary Street|Cathays, Cardiff|South Glamorgan|CF10 1AT|Caerdydd - Cardiff|02920032686|www.greggs.co.uk|Greggs|||118 Information|2024-12-01,,,
145402296|Fabulous Welsh Cakes|09470661|318082|176448|1|100100889984|osgb1000027219412|6|5803646|3|15.9|44|Castle Arcade|Cathays, Cardiff|South Glamorgan|CF10 1BW|Caerdydd - Cardiff|02920227321|www.fabulouswelshcakes.co.uk||||118 Information|2024-12-01,,,
161936394|Clare Foods Ltd|09470669|317713|175280|1|100100890871|osgb1000027173163|6|5804621|1|24.4|128a, Penarth Road|Grangetown|Cardiff|South Glamorgan|CF11 6NH|Caerdydd - Cardiff|02920230404|||||118 Information|2024-12-01,,,
103277461|Majestic Wine Warehouses Ltd|09470671|317673|173458.3|1|10023550594|osgb1000002706050561|1|5803897|1|74.5|Unit 3a|Dunleavy Drive|Grangetown, Cardiff|South Glamorgan|CF11 0SR|Caerdydd - Cardiff|02920228806|www.majestic.co.uk|Majestic Wine Warehouses|||118 Information|2024-12-01,,,
48802343|Tropical Mix|09470669|319954|179212|1|100100895565|osgb1000027265204|3|5800407|1|17.9|13|Clarendon Road|Penylan, Cardiff|South Glamorgan|CF23 9JD|Caerdydd - Cardiff|02920496126|||||118 Information|2024-12-01,,,
48802455|Youngs|09470669|317630|175194|1||osgb1000002706041497|2|5804621|1|17.5|144|Penarth Road|Grangetown, Cardiff|South Glamorgan|CF11 6NJ|Caerdydd - Cardiff|02920233774|||||118 Information|2024-12-01,,,
171989519|The Fruit Bowl|09470669|316683|177336|1|100100891771|osgb1000027126087|7|5800332|1|15|227|Cathedral Road|Pontcanna, Cardiff|South Glamorgan|CF11 9PP|Caerdydd - Cardiff|02920231062|||||118 Information|2024-12-01,,,
131522587|M J|09470671|317989|179595|1|100100031665|osgb1000027182719|6|5800035|1|27.8|255-257|Allensbank Road|Heath, Cardiff|South Glamorgan|CF14 3RA|Caerdydd - Cardiff|02920751264|||||118 Information|2024-12-01,,,
78317858|Thornhill Farm Shop|09470669|316733|183745|1|10013747426|osgb1000027142808|6|5802325|1|116.1|New House Farm|Capel Gwilym Road|Lisvane, Cardiff|South Glamorgan|CF14 9UB|Caerdydd - Cardiff|02920611707|||||118 Information|2024-12-01,,,
48794858|Countisbury Fruit Supply|09470669|322360|180670|1|100100899223|osgb1000027351666|2|5800514|1|11.3|2|Countisbury Avenue|Llanrumney, Cardiff|South Glamorgan|CF3 5SJ|Caerdydd - Cardiff|02920791101|||||118 Information|2024-12-01,,,
48793199|Spice of Life|09470670|318789|177781|1|100100059096|osgb1000027219868|4|5801084|1|12.5|1|Inverness Place|Roath, Cardiff|South Glamorgan|CF24 4RU|Caerdydd - Cardiff|02920487146|||||118 Information|2024-12-01,,,
169447054|Paul Bros|09470671|320265|176686|1|100100063821|osgb1000027286172|5|5800869|1|14.5|73|Habershon Street|Splott, Cardiff|South Glamorgan|CF24 2JY|Caerdydd - Cardiff|02921328868|||||118 Information|2024-12-01,,,
125682827|The Market Garden|09470669|318837|177771|1|100100897300|osgb1000027220483|6|5800023|1|17.1|19|Albany Road|Roath, Cardiff|South Glamorgan|CF24 3LH|Caerdydd - Cardiff|02920487733|||||118 Information|2024-12-01,,,
125827658|M Y Mums Stores|09470669|317121|176136|1|100100079261|osgb1000027177046|5|5801692|1|15|1|Rennie Street|Riverside, Cardiff|South Glamorgan|CF11 6EG|Caerdydd - Cardiff|02920237998|||||118 Information|2024-12-01,,,
103263925|Bespoke Wines Ltd|09470671|319369.4|177898.4|1|100100897796|osgb1000027257050|3|5804703|1|22.7|4|Pen-y-Lan Road|Roath, Cardiff|South Glamorgan|CF24 3PF|Caerdydd - Cardiff|02920490096|||||118 Information|2024-12-01,,,
103297668|A J Best Bargains|09470671|320209|176648|1|100100066239|osgb1000027285701|5|5801802|1|18.2|67|Splott Road|Splott, Cardiff|South Glamorgan|CF24 2BW|Caerdydd - Cardiff|02920491325|||||118 Information|2024-12-01,,,
48797775|T & A Stores|09470671|318583|177254|1|100100030029|osgb1000027222867|8|5801401|1|36.5|3|Miskin Street|Cathays, Cardiff|South Glamorgan|CF24 4AP|Caerdydd - Cardiff|02920233568|||||118 Information|2024-12-01,,,
133152184|Clare Food Superstore|09470669|319025|177302|1|100101041539|osgb1000027259245|5|5800398|1|27.8|108-110|City Road|Roath, Cardiff|South Glamorgan|CF24 3DQ|Caerdydd - Cardiff|02920485038|||||118 Information|2024-12-01,,,
80405544|Laura's|09470669|316726|176541|1|100100892372|osgb1000027121080|5|5804644|1|535.1|158|Cowbridge Road East|Riverside, Cardiff|South Glamorgan|CF11 9ND|Caerdydd - Cardiff|02920228796|||||118 Information|2024-12-01,,,
179356109|Spanish Wines Online|09470671|317053|174147|1|100100891594|osgb1000027169961|8|5802992|1|41.5|4|Stadium Close|Leckwith, Cardiff|South Glamorgan|CF11 8TS|Caerdydd - Cardiff|02920383737|||||118 Information|2024-12-01,,,
103297263|Arti|09470671|317098|176514|1|100100892326|osgb1000027174961|7|5804644|1|166.4|64|Cowbridge Road East|Riverside, Cardiff|South Glamorgan|CF11 9DU|Caerdydd - Cardiff|02920415152|||||118 Information|2024-12-01,,,
85582378|Polish Shop|09470669|317592|175161|1|100100103996|osgb1000027172863|6|5804621|1|19.8|158|Penarth Road|Grangetown, Cardiff|South Glamorgan|CF11 6NJ|Caerdydd - Cardiff|02920251004|||||118 Information|2024-12-01,,,
161935742|Ayan Halal Meat Fruit & Vegetable|09470669|318833|177577|1|100100897124|osgb1000027220977|5|5800398|1|17.6|204|City Road|Roath, Cardiff|South Glamorgan|CF24 3JG|Caerdydd - Cardiff|02921321880|||||118 Information|2024-12-01,,,
85599213|Bargain Booze Ltd|09470671|317898|181717|1|100100047334|osgb1000027187867|3|5800731|1|16.6|187|Fidlas Road|Llanishen, Cardiff|South Glamorgan|CF14 5LZ|Caerdydd - Cardiff|02920753027|www.bargainbooze.co.uk|Bargain Booze|||118 Information|2024-12-01,,,
48794220|Clare Food Store|09470669|317663|175717|1|100100101128|osgb1000027171022|4|5800401|1|15.3|45-47|Clare Road|Grangetown, Cardiff|South Glamorgan|CF11 6QP|Caerdydd - Cardiff|02920387588|||||118 Information|2024-12-01,,,
103263563|Fines Wines Direct UK|09470671|316901|174234|1|100100891661|osgb1000027119129|10|5801556|1|99.9|242|Penarth Road|Leckwith, Cardiff|South Glamorgan|CF11 8TU|Caerdydd - Cardiff|02920787500|www.finewinesdirectuk.com||||118 Information|2024-12-01,,,
125736663|R K T Cook Ltd|09470667|319197|177977|1|100100897375|osgb1000027256947|3|5802092|1|18.6|18|Wellfield Road|Roath, Cardiff|South Glamorgan|CF24 3PB|Caerdydd - Cardiff|02920494166|www.cookfood.net|Cook Trading|||118 Information|2024-12-01,,,
165518774|Mobile Farm Shop|09470669|320273|180124|1|100100134073|osgb1000027294260|2|5803401|1|19.4|32|Round Wood|Pentwyn, Cardiff|South Glamorgan|CF23 9PF|Caerdydd - Cardiff|07429489560|www.mobilefarmshop.co.uk||||118 Information|2024-12-01,,,
85611110|Total Produce|09470669|316874.1|174917.9|1|10002523983|osgb1000027119176|4|5800128|1|82.3|Unit 1-2, Wholesale Fruit Centre, Bessemer Road|Leckwith|Cardiff|South Glamorgan|CF11|Caerdydd - Cardiff|02920829830|www.totalproducelocal.co.uk|Total Produce Ltd|||118 Information|2024-12-01,,
85647130|Wholesale Fruit Centre|09470669|316844|174958|1|10002523980|osgb1000027119183|6|5800128|3|36.8|Bessemer Road||Cardiff|South Glamorgan|CF11 8BE|Caerdydd - Cardiff|02920220740|||||118 Information|2024-12-01,,,,
108331248|Majestic Wine Warehouses Ltd|09470671|316601.4|179552.4|1|10013746933|osgb1000027129573|3|5801372|1|485.3|Majestic Wine Warehouse|Merthyr Road|Whitchurch, Cardiff|South Glamorgan|CF14 1DL|Caerdydd - Cardiff|02920627901|www.majestic.co.uk|Majestic Wine Warehouses|||118 Information|2024-12-01,,,
181104369|Office Shoes|09460657|318540|176264|1||osgb1000002706067822|11|5800190|3|62.9|11|Bridge St Unit Lg34 St Davids Centre|Cardiff|South Glamorgan|CF10 2EF|Caerdydd - Cardiff|02034106231|www.office.co.uk|Office|||118 Information|2024-12-01,,,,
48751160|Hussain Jewellers|09460659|317642|175620|1|10002516673|osgb1000027170285|5|5800401|1|16.3|58a|Clare Road|Grangetown, Cardiff|South Glamorgan|CF11 6RT|Caerdydd - Cardiff|02920225786|||||118 Information|2024-12-01,,,
158557691|Diamond Heaven|09460659|318403|176385|1|100101043454|osgb1000027219172|8|5803284|3|52.6|14|St Davids Way|Cathays, Cardiff|South Glamorgan|CF10 2DP|Caerdydd - Cardiff|02920344487|www.diamond-heaven.co.uk||||118 Information|2024-12-01,,,
181526140|Breitling Boutique Cardiff|09460659|318469|176217|1||osgb1000002706067822|11|5803284|3|40.3|1-3|St Davids Hayes Arcade|Cardiff|South Glamorgan|CF10 2EJ|Caerdydd - Cardiff|02920235179|www.watches-of-switzerland.co.uk|Aurum Holdings Ltd|||118 Information|2024-12-01,,,,
105221230|Bravissimo|09460660|318469.4|176217.1|1|10023548371|osgb1000002706067822|11|5803284|3|40.7|St David's Dewi Sant|Hayes Arcade|Cathays, Cardiff|South Glamorgan|CF10 2EF|Caerdydd - Cardiff|02920231266|www.bravissimo.com|Bravissimo|||118 Information|2024-12-01,,,
48747945|Ernest Jones|09460659|318474|176536|1|10002531347|osgb1000027218269|3|5801664|1|17.3|62|Queen Street|Cathays, Cardiff|South Glamorgan|CF10 2GQ|Caerdydd - Cardiff|02920664068|www.ernestjones.co.uk|Ernest Jones|||118 Information|2024-12-01,,,
68707665|A Borja Jewellers|09460659|318662|177044|1|100100030904|osgb1000027222956|6|5801752|1|13.2|10b, Salisbury Road|Cathays|Cardiff|South Glamorgan|CF24 4AD|Caerdydd - Cardiff|02920382630|||||118 Information|2024-12-01,,,
97766046|Swatch Store|09460659|318463.2|176222.2|1||osgb1000002706067822|11|5803284|3|37|1 Hayes Arcade|St. Davids Dewi Sant|Cardiff|South Glamorgan|CF10 2EJ|Caerdydd - Cardiff|02920343177|shop.swatch.com/en_gb/|Swatch|||118 Information|2024-12-01,,,,
124773408|Crystals & Clocks|09460659|318248.7|176349.2|1|10002521015|osgb1000027219495|5|5801856|1|61.5|Central Market|St Mary Street|Cathays, Cardiff|South Glamorgan|CF10 1AU|Caerdydd - Cardiff|02920345424|www.jollibee.uk||||118 Information|2024-12-01,,,
123135292|Clogau Cardiff Boutique Store|09460659|318485.6|176239.1|1||osgb1000002706067822|11|5803284|3|64.1|29 Grand Arcade|St. Davids Dewi Sant|Cardiff|South Glamorgan|CF10 2ER|Caerdydd - Cardiff|02921320300|www.clogau.co.uk||||118 Information|2024-12-01,,,,
181526141|Tag Heuer Boutique Cardiff|09460659|318551|176268|1||osgb1000002706067822|11|5800190|3|51.9|31|Grand Arcade|Cardiff|South Glamorgan|CF10 2ER|Caerdydd - Cardiff|02920229478|www.watches-of-switzerland.co.uk|Aurum Holdings Ltd|||118 Information|2024-12-01,,,,
97760106|Accessorize|09460659|318471|176455|1|10002531194|osgb1000027219198|14|5801664|3|95.7|39|St Davids Way|Cathays, Cardiff|South Glamorgan|CF10 2DP|Caerdydd - Cardiff|02920387854|www.accessorize.com/uk/|Monsoon|||118 Information|2024-12-01,,,
